DB00388	DB00341	1.0
DB00388	DB00852	1.0
DB00388	DB01075	0.5
DB00388	DB00860	0.143
DB00388	DB01234	0.143
DB00388	DB00635	0.033
DB00388	DB00860	0.083
DB00388	DB00950	1.0
DB00388	DB00557	1.0
DB00388	DB01075	0.5
DB00388	DB01234	0.111
DB00388	DB01234	0.125
DB00388	DB00443	0.125
DB00388	DB01222	0.2
DB00388	DB00950	1.0
DB00388	DB00972	1.0
DB00388	DB00588	0.333
DB00388	DB00620	0.333
DB00388	DB00443	0.333
DB00388	DB00860	0.143
DB00388	DB00471	1.0
DB00388	DB01003	0.5
DB00388	DB01234	0.143
DB00388	DB01234	0.143
DB00388	DB00768	1.0
DB00960	DB00492	0.5
DB00960	DB00808	1.0
DB00960	DB00999	0.5
DB00960	DB00700	0.5
DB00960	DB00373	1.0
DB00960	DB00691	0.5
DB00960	DB00524	0.5
DB00960	DB00903	1.0
DB00960	DB00887	1.0
DB00960	DB00178	0.5
DB00960	DB00571	0.333
DB00960	DB00335	0.5
DB00960	DB00678	1.0
DB00960	DB00542	0.5
DB00960	DB01203	1.0
DB00960	DB00661	0.333
DB00960	DB00264	0.5
DB00960	DB00695	0.333
DB00960	DB00722	0.5
DB00960	DB00421	0.5
DB00960	DB00881	0.5
DB00960	DB00594	1.0
DB00960	DB00310	0.5
DB00960	DB00598	1.0
DB00960	DB01197	0.5
DB00960	DB00876	1.0
DB00960	DB01136	1.0
DB00960	DB00519	0.5
DB00960	DB00214	1.0
DB00960	DB00584	0.5
DB00960	DB00796	1.0
DB00960	DB00612	0.5
DB00960	DB01029	1.0
DB00960	DB01359	1.0
DB00960	DB01193	1.0
DB00727	DB00999	0.5
DB00727	DB00524	0.5
DB00727	DB00310	0.5
DB00915	DB00810	0.5
DB00915	DB00198	0.5
DB00915	DB00190	0.333
DB00915	DB00811	0.125
DB00915	DB01235	0.333
DB00915	DB00810	0.5
DB00915	DB00810	0.5
DB00915	DB00915	0.667
DB00915	DB00558	0.5
DB00915	DB00558	0.5
DB00915	DB00198	0.5
DB00810	DB00190	0.5
DB00810	DB01235	0.5
DB00810	DB00810	1.0
DB00810	DB00810	1.0
DB00810	DB00915	0.333
DB01260	DB00547	0.5
DB01260	DB00620	0.25
DB01260	DB00620	0.333
DB01260	DB00620	0.333
DB01260	DB01047	0.5
DB01260	DB00620	0.333
DB01260	DB01013	0.167
DB01260	DB00288	1.0
DB01260	DB00620	0.333
DB01260	DB01013	0.5
DB00547	DB00443	0.25
DB00547	DB00764	0.333
DB00547	DB00620	0.5
DB00547	DB00860	0.125
DB00547	DB00620	0.667
DB00547	DB00620	0.667
DB00547	DB00443	0.25
DB00547	DB00741	0.167
DB00547	DB00860	0.125
DB00547	DB00596	0.333
DB00547	DB00764	0.333
DB00547	DB00764	0.25
DB00547	DB00860	0.125
DB00547	DB00443	0.25
DB00547	DB00523	0.5
DB00547	DB00993	0.125
DB00547	DB00993	0.091
DB00547	DB00563	0.053
DB00547	DB00091	0.059
DB00547	DB00860	0.125
DB00547	DB01047	1.0
DB00547	DB00443	0.2
DB00547	DB00620	0.667
DB00547	DB00860	0.125
DB00547	DB00860	0.125
